Sector,Salary Paid,Taxable Benefits,Employer,Position,Calendar Year,ID
Colleges,"$102,265.34",$151.68,George Brown College,"Dean, Comm. Sers. & Health Servs.",2001,18df5dae0e272e3bd6b8af858ece0d6774a1fa1c76ad53028f1a18f276c24666
Colleges,"$111,999.92",$210.06,George Brown College,"VP, Corporate Services",2001,811ad88525237555b94261808a57aefaaa737b3171d6c0abdb7ae36b0d32d194
Colleges,"$104,884.58",$180.43,George Brown College,"Dean, Technology",2001,257ef0c0955f8f9038a869943759936ebb4117612cab5ba15977d40191236eec
Colleges,"$109,905.06",$192.38,George Brown College,"VP, Human Resources",2001,cac62cd13582f36794d934f2028c6efbdb62610b78e929d75b2cd89fb1c88bfe
Colleges,"$121,384.72",$179.94,George Brown College,"VP, Strategic Enrollment & Mgmt",2001,ff55ea90e647f814e643538f228f511f7fa9d1531fb8edb1611af8a8a95fe330
Colleges,"$193,548.57","$6,028.24",George Brown College,President,2001,f2cbfa51b717c749b90bb743dfa33780592500ea8ca48f55ceb21da707f6f988
Colleges,"$100,707.80",$168.81,George Brown College,"Dean, Hospitality & Tourism",2001,c1fd3ce35f5353410c6e9f75c7b73868bb86e33aebeed165ae0f65b56a8338dd
Colleges,"$119,855.88",$197.90,Georgian College,"VP, Academic",2001,f4bd19a6796b7402eebab50db3d477c5d3cd9dbd0a8063b47d33e02065a23efd
Colleges,"$120,063.93",$194.92,Georgian College,"Vice President, Administrative Services",2001,3a5ce32144c8126d57762b5a8ed2fa079523ac049b7a43e7c2089cfc3341102a
Colleges,"$106,943.48",$324.28,Georgian College,"VP, Student & Human Resource Serv.",2001,bd8017a29b645095acd91495169ca2a835c19a3209f937c22e52967fc4822259
Colleges,"$163,821.60","$2,323.70",Georgian College,President,2001,1b0a52a2f22a49e8af874026eddb3afc2131a722d2914e3b408ce2c2043f680f
Colleges,"$107,888.33",$211.03,Humber College,"Associate VP, QA",2001,58267b8b7867856a26c705c05ea5917e7ca583ea81dd71541e53e12cc2a774bd
Colleges,"$103,463.29",$77.22,Humber College,Special Projects Director,2001,3401b16d51f22ffda6f8a92e02fcd74f94ca58ac085c0c414c76f51b5f2b7ebd
Colleges,"$123,023.75",$195.99,Humber College,"Vice President, Business Development",2001,72e5db6961c512efe456ffa384685bea385ce36d595d28d9bd688e92ddf02148
Colleges,"$181,790.65","$8,807.94",Humber College,President,2001,e3357921748de3cae07f5ce7a94aaa69579d187d5fb3fde7a5ff2430f03a6104
Colleges,"$106,401.16",$208.54,Humber College,"Asst. VP, Professional Dev.",2001,8562e2bb0a1e4613a0694d5e93ccd888907dce799821d55fecf92298bd195f10
Colleges,"$107,216.48",$209.89,Humber College,"Asst. VP, Strategic Growth",2001,96b8e597a81503eb9f7dc8b07f5278fb7ad3db478be3cc88ec5e34f35b95095c
Colleges,"$125,987.39",$223.22,Humber College,"Vice President, Academic",2001,388e9cd059222a192d82c1a418e8aab1c017b94b78d2c170d48a5e87eefc7192
Colleges,"$108,941.14",$182.98,Humber College,"Director, Customer Relations",2001,5a7f9a1fc2ed084351fc1fbb3ef898ccc6df0c6edb6429dc7393ea4a89df9efd
Colleges,"$102,652.37",$178.33,Humber College,"Director, Fin SRV & Planning",2001,0e902c1e7c2ee3c2f4dca8d6b9173b5cfbb17fd9ccfe1b0cb4ea6c52912d36a6
Colleges,"$118,821.85",$243.92,La Cit� coll�giale,"Vice-pr�sident, Enseignement",2001,afb38976414936eab9e2c1e14e934af708ba9b6acd9545dc841f33f5d535247d
Colleges,"$117,488.51",$228.72,La Cit� coll�giale,"VP, Administration et finances",2001,a89459faea192212b0f1b51298aac8e17b5ce21260fe5000b43b70142522dfad
Colleges,"$102,544.40",$192.42,La Cit� coll�giale,"Directeur, Ressources humaines",2001,559bc4ac6646d23130639111432ff395f39397fbabbdc35fcd41268f6b104c8f
Colleges,"$150,704.37","$1,416.14",La Cit� coll�giale,Pr�sidente,2001,4d53ee19e2b4c68b85caf690a8f3d178de66501e31652f90687fd340c172e084
Colleges,"$148,287.00","$13,602.00",Lambton College,President,2001,aa6851fe0b2c29868ec4f46c923b1259693d630b215f3708973759d3f9d0cb40
Colleges,"$131,085.47","$9,439.76",Loyalist College,President,2001,02cda460fc1a384417015d3b05817fd9387fb34c0adebd631091b06f9e25444a
Colleges,"$101,437.96",$224.96,Mohawk College,Co-ord. Faculty,2001,d6cbf9f5abcfe4826a924c78f25a5026f1c61de54a1b0016a97c026d549b394b
Colleges,"$101,061.98",$149.59,Mohawk College,"Dean Bus., App Arts & Access",2001,6cecd3604b6f87d00acbc4dc7806da5d3e70140fb641ed8f57a69cbe5a2c1083
Colleges,"$103,129.70",$280.10,Mohawk College,Chair,2001,10d03abf92aa9df7b4e6e6700155117daa81b81a192e986b80c441f770ab0aba
Colleges,"$116,379.01",$314.88,Mohawk College,"VP, Academic",2001,96b3b525af892f2d0b5272c54530d156b771f05ef0acc56aa0a928537f679b8b
Colleges,"$162,058.85",$154.13,Mohawk College,President,2001,5d10469ab15a330c94304b40fbe9a3b51abefe72d927ff0409087cf7bf21e8b1
Colleges,"$101,061.98",$212.23,Mohawk College,Dean-Health Sc. & Human Serv.,2001,e450a7aa675509a5fdf3fd8957c3f61919942d711054a5ef13b4db55d5e7aa92
Colleges,"$105,515.52",$340.91,Mohawk College,Acting Vice Pres. Fin. & Admin.,2001,4a444fbac6415ebb874f93aa579a253ff741bd02862c233a59af1691f88828f7
Colleges,"$200,264.61","$4,041.68",Mohawk College,President,2001,4ed50fd6cdc491cca3c80c3e684a860231d3211656d6d194311f89193bdd8a64
Colleges,"$116,566.44",$260.31,Niagara College,"VP, Enterprise & Student Services",2001,329bc8474e20c141b21b28ff4f50cd348ec7eba982b8e76d586faa7c3fb1c722
Colleges,"$119,129.56",$267.69,Niagara College,"VP, Corporate Services",2001,9cb60e762b7aa167e14354e1ab9204fa1c01cefbb018757c673e9acadd2fc699
Colleges,"$155,127.20","$2,948.03",Niagara College,President,2001,7b56d9cbcba7908b2f070cc2e43308ec6c1b5894a68080f9b2b8466fe1c5d5ef
Colleges,"$115,279.29","$5,268.59",Niagara College,Vice President Academic,2001,5855476422f68b71648d2089eba9dc331fca1fe3596dcbc2e83f8aba6d0767dd
Colleges,"$104,082.38",$228.52,Niagara College,Chief Information Officer,2001,371db8250e87f1a7e32444e037d3767c9d5ed4d431e18a70519a578590e4a03d
Colleges,"$119,067.00","$13,721.00",Northern College,President,2001,145a8402594aa690db5a1c3d0f4b06d6df012504e15b928b056691f4b9c2831b
Colleges,"$110,251.21",$207.70,Sault College,"Vice President, Academic",2001,2a760bf01c348c177818c96b62f42524057219a4d9fa1717624e20e383767808
Colleges,"$156,508.00",$262.14,Sault College,President,2001,a51bf7bbb461bc77219ea0c7441c2ea2c5f5cb0f588882a3becdb710d423a881
Colleges,"$100,755.60","$6,797.00",Seneca College,"VP, Finance & Administration",2001,549992812cc296f830ac55eb845291322136fe33df03030d76f9af0ca23cac24
Colleges,"$100,668.03","$3,238.30",Seneca College,"VP, Academic (Acting)",2001,3ca36d3155a50a1728089128ae9e707409b2fbff850beb8b0c6aeac1994eb647
Colleges,"$115,800.45","$6,826.02",Seneca College,"VP, Student Services/Int l Development",2001,7786a49897f8d3394b209c13a0174f0a3f9beb81c2d3f49f0b8b19407bfba7d2
Colleges,"$374,411.66","$29,844.96",Seneca College,President,2001,20e76d1ca47f16c492a5ec3073e33c838b234be73dbfd8c9d46c1a1e46b33c7c
Colleges,"$110,603.50","$9,231.92",Seneca College,"VP, Academic",2001,706c83b4654774c868e91ccbea8ee0caafb5ce39f877e6606c7d7ed9a5f5b942
Colleges,"$101,097.26","$6,796.78",Seneca College,Chief Information Officer,2001,99e6f4ea31d322bc59c2cc70c49b5998195bffa2c1f494dd32938efd2279286f
Colleges,"$136,940.61","$2,956.03",Sheridan College,"VP, H.R. & Student Affairs",2001,f49f2d64827a7666967fae4e7aafbdb8d372d6745a626cce631c1888bfe0e11e
Colleges,"$115,599.92",$159.17,Sheridan College,Professor,2001,0fc9d9774f26fd6f75605cb8fe38d7514bd511d0e1453b756a8a5ca67fa47845
Colleges,"$123,297.32","$8,720.42",Sheridan College,Act President / VP Student & Admin.,2001,6725f2b1c4048433b3149b361215c3a809abebe73d8d855c31ba0898e6ee8cd4
Colleges,"$134,682.76","$3,468.83",Sheridan College,"VP, Academic",2001,7dae7d729f1aa91bbee8d43babf9d70893fc2dbf0dea2674cead0e16126ea3a5
Colleges,"$106,616.69",$21.06,Sheridan College,Professor,2001,c4dea1d233e08527256ff5bbb0f17786f26fe73edc16a06a221c0c1553f5fe81
Colleges,"$107,283.72","$4,299.46",Sheridan College,"Associate VP, Academic",2001,96bf2ee4bc3dd0fca82a874acd13b00536e062cb8963ebdb3aec4b16a8fade89
Colleges,"$106,995.12","$2,452.71",Sheridan College,Dean-School of Business,2001,5f16f8156bdf2da0701c7deba5eca1dd3368368eabfa4ff22904685f5b478b0b
Colleges,"$107,283.69","$6,137.39",Sheridan College,"VP, Corp Marketing & Development",2001,1e500d9792e4ca5c9c03c641e63c961da500b547f7e8766c225a87373fbf1f47
Colleges,"$113,849.98","$10,026.50",Sheridan College,President,2001,d240510868a14135b06e305232afff7c8ffe3bf2c96ace5cb974ce7664ad3811
Colleges,"$107,463.13",$200.92,Sir Sandford Fleming College,"Vice-President, Human & Org. Develop.",2001,4a68f6885fc51b5f321edfad6527d5274000fd8b637bbf27a883babb8c51547f
Colleges,"$114,042.83",$200.00,Sir Sandford Fleming College,"Vice President, Finance & Facilities",2001,e43cce8433977438d056ae26977930fbbfe7642d0eaae3d2ed78aeed3cdd045e
Colleges,"$117,442.54",$183.02,Sir Sandford Fleming College,"Senior Vice President, Academic",2001,d3457870e7c6f6f6fa762e1dbd12b5b97ea541d014f63db75534cee4f792898b
Colleges,"$166,297.88","$1,018.27",Sir Sandford Fleming College,President,2001,c458e34743c39da3364a57adb5dbd929df535b6f93ab7e10d49e12974216c09d
Colleges,"$100,624.55",$186.39,Sir Sandford Fleming College,"Vice President, Strategic Enrolment Mgmt.",2001,04dc3083a66c218558adf37c940b47b044eac84936a7f3a909d37e4fd56f5dae
Colleges,"$101,970.96",$167.52,St. Clair College,"VP, Academic",2001,351ce9bca78542efaa7b3e0a4a9fe01f452e3ea14e8ef456e2e5d24abe2f3ea2
Colleges,"$103,608.47",$77.22,St. Clair College,Professor,2001,5c936788d050fbe2405a2447494885f1a900677d50185492cc8e59789ef41846
Colleges,"$170,625.19","$2,214.69",St. Clair College,President,2001,27e9a00a65b195d10e5e8d2f849edd522e99293de1e117d2558c01848bfdb84a
Colleges,"$102,156.71",$77.22,St. Clair College,Professor,2001,2d26c5c0e09c32720c93cb2bd9eb7fe8ebc28a37af1bb97ddc32df2d116f3785
Colleges,"$106,936.24","$1,521.61",St. Lawrence College,"Director, Educational & Info.Technologies",2001,ace922da36a1914ba3f44ecd604f5957c47744f90c3ae0069e7c2a5e351bdc38
Colleges,"$115,012.88","$1,155.33",St. Lawrence College,"Director, Physical Resources & SuperBuild",2001,60d7db5b15736292a87dce87305250cc2dd1cc878400bd2f7b5dd713698794df
Colleges,"$105,235.00",$877.50,St. Lawrence College,"VP, Academics",2001,3c3fd2190d975d1e3ab6b055665dec4259fde77b75ba5e804ca8d0d117744cd1
Colleges,"$158,256.88","$16,230.00",St. Lawrence College,President,2001,3d6f051d097ef895589186d67a2138e1d0a17d8ff3c3d2dd1468b935ba11952c
Colleges,"$126,759.16","$1,140.18",St. Lawrence College,"Sr. VP, Advancement & Corp.Servs.",2001,e0ddf05af87af74b417931882fb3074380d6e243c1ad0ea23e8c746a6719b982
Crown Agencies,"$133,679.46","$10,550.62",AGRICORP,Chief Executive Officer,2001,8161d5bbe3e3d3a70854e47fdeeada864e27b743b4e807338b3c0b9f54e8aa8c
